Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
NR1H3 human tf ARCHS4 coexpression	26/299	1.0058679773490961E-18	1.414250376152829E-15	0	0	12.582368082368083	521.4218999891538	C1QB;CSTB;SPI1;ITGB2;TCIRG1;LIPA;CCL8;CTSL;SLAMF9;SLAMF8;HMOX1;ACP5;VSIG4;CD14;CTSB;SLC37A2;CD163;FCER1G;CYBB;CYBA;LILRB4;HCK;TYROBP;APOC1;FERMT3;C1QC
TFEC human tf ARCHS4 coexpression	22/299	1.8185051266936565E-14	6.3920455203282025E-12	0	0	10.214658939768192	323.1731823959822	SLC37A2;CD163;SPI1;FCER1G;CD180;ITGB2;CYBB;CYBA;TCIRG1;LIPA;LILRB4;HCK;TYROBP;CTSL;SLAMF8;ACP5;TLR8;VSIG4;CD14;FERMT3;CTSB;C1QC
ZNF385A human tf ARCHS4 coexpression	22/299	1.8185051266936565E-14	6.3920455203282025E-12	0	0	10.214658939768192	323.1731823959822	FCN1;CSTB;SLC37A2;CD163;SPI1;FCER1G;ITGB2;CYBB;CYBA;TCIRG1;LILRB4;HCK;DOK3;TYROBP;CTSL;SLAMF8;ACP5;VSIG4;CD14;FERMT3;CTSB;C1QC
MAFB human tf ARCHS4 coexpression	22/299	1.8185051266936565E-14	6.3920455203282025E-12	0	0	10.214658939768192	323.1731823959822	CSTB;SLC37A2;CD163;SPI1;FCER1G;CD180;ITGB2;CYBB;CYBA;TCIRG1;LILRB4;HCK;TYROBP;CTSL;SLAMF8;HMOX1;ACP5;VSIG4;CD14;FERMT3;CTSB;C1QC
CEBPB human tf ARCHS4 coexpression	21/299	1.8494591171618253E-13	4.333899197882544E-11	0	0	9.651290732120186	282.96342287780175	CD163;SPI1;FCER1G;ITGB2;CYBB;CYBA;TCIRG1;LILRB4;HCK;DOK3;TYROBP;CTSL;SLAMF8;HMOX1;ACP5;TLR8;VSIG4;CD14;FERMT3;CTSB;C1QC
JDP2 human tf ARCHS4 coexpression	21/299	1.8494591171618253E-13	4.333899197882544E-11	0	0	9.651290732120186	282.96342287780175	CD163;SPI1;FCER1G;ITGB2;CYBB;CYBA;TCIRG1;LILRB4;HCK;DOK3;TYROBP;CTSL;SLAMF8;HMOX1;ACP5;TLR8;VSIG4;CD14;FERMT3;CTSB;C1QC
IRF5 human tf ARCHS4 coexpression	20/299	1.7783182644638946E-12	3.125394349795295E-10	0	0	9.098822324628776	246.17184981769591	CD74;CD163;SPI1;FCER1G;CD180;ITGB2;CYBB;CYBA;TCIRG1;LILRB4;HLA-E;HCK;DOK3;TYROBP;ACP5;VSIG4;CD14;FERMT3;CTSB;C1QC
MSC human tf ARCHS4 coexpression	20/299	1.7783182644638946E-12	3.125394349795295E-10	0	0	9.098822324628776	246.17184981769591	CSTB;CD163;SPI1;FCER1G;CYBA;TCIRG1;LILRB4;HCK;TYROBP;CCL8;CTSL;SLAMF8;CCL3;HMOX1;ACP5;VSIG4;CD14;FERMT3;CTSB;C1QC
HLX human tf ARCHS4 coexpression	18/299	1.3774020760599526E-10	2.1518081321558817E-8	0	0	8.02559540104024	182.22637433129816	CD163;SPI1;FCER1G;ITGB2;CYBA;TCIRG1;LILRB4;HLA-E;HCK;DOK3;TYROBP;CTSL;TLR8;VSIG4;CD14;TNFAIP8L2;FERMT3;C1QC
EGR2 human tf ARCHS4 coexpression	17/299	1.1041053208631837E-9	1.4112473464851238E-7	0	0	7.504359217599494	154.7716342158654	CSTB;SLC37A2;CD163;FCER1G;CD180;ITGB2;CYBB;LIPA;LILRB4;TYROBP;CTSL;SLAMF8;CCL3;ACP5;VSIG4;FERMT3;CTSB
HLA-DRB3 human tf ARCHS4 coexpression	17/299	1.1041053208631837E-9	1.4112473464851238E-7	0	0	7.504359217599494	154.7716342158654	CD74;SPI1;FCER1G;CD180;ITGB2;CYBB;CYBA;TCIRG1;LILRB4;PSMB8;HLA-E;HCK;DOK3;TYROBP;FERMT3;CTSB;C1QC
ZNF438 human tf ARCHS4 coexpression	16/299	8.284966081526183E-9	9.70721859218818E-7	0	0	6.9930670483517465	130.1327488882353	CD163;SPI1;FCER1G;ITGB2;CYBB;MCEMP1;LILRB4;HLA-E;HCK;DOK3;TYROBP;TLR8;VSIG4;CD14;FERMT3;CTSB
