Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CREB3L1 human tf ARCHS4 coexpression	31/299	5.8234286957416E-22	8.746789901003883E-19	0	0	12.61531726840657	616.8257212919087	SPARC;FAM114A1;HDLBP;THY1;ADAMTS12;THBS2;PRSS23;ACTG2;ADAMTS2;CALD1;ADAMTS1;CTHRC1;FN1;BGN;LAYN;PCOLCE;DCN;DKK3;COL1A1;ACTA2;GREM1;MFAP4;COL3A1;COL1A2;PSG5;COL4A2;COL5A2;CALU;COL8A1;COL6A3;COPG1
SNAI2 human tf ARCHS4 coexpression	30/299	7.304564472367255E-21	2.7428639593739042E-18	0	0	12.094795539033457	560.78472018081	SPARC;FAM114A1;HDLBP;ADAMTS12;THBS2;ADAMTS2;CALD1;ADAMTS1;CTHRC1;POSTN;CAV1;FN1;BGN;LAYN;PCOLCE;DCN;DKK3;COL1A1;ACTA2;GREM1;MFAP4;COL3A1;MYO1B;COL1A2;COL4A2;COL4A1;COL5A2;CALU;COL8A1;COL6A3
PRRX1 human tf ARCHS4 coexpression	30/299	7.304564472367255E-21	2.7428639593739042E-18	0	0	12.094795539033457	560.78472018081	SPARC;FAM114A1;HDLBP;THY1;ADAMTS12;THBS2;ADAMTS2;CALD1;ADAMTS1;CTSK;CTHRC1;POSTN;CAV1;FN1;BGN;LAYN;PCOLCE;DCN;DKK3;COL1A1;GREM1;MFAP4;COL3A1;COL1A2;COL5A2;CALU;PMP22;COL8A1;COL6A3;VIM
FBN1 human tf ARCHS4 coexpression	30/299	7.304564472367255E-21	2.7428639593739042E-18	0	0	12.094795539033457	560.78472018081	SPARC;FAM114A1;HDLBP;ADAMTS12;THBS2;PRSS23;ADAMTS2;CALD1;ADAMTS1;CTHRC1;POSTN;CAV1;FN1;BGN;LAYN;PCOLCE;DKK3;COL1A1;ACTA2;GREM1;MFAP4;COL3A1;COL1A2;COL4A2;COL4A1;COL5A2;CALU;COL8A1;COL6A3;CDH13
TWIST1 human tf ARCHS4 coexpression	29/299	8.78684314940377E-20	2.1996397350674105E-17	0	0	11.583384489461837	508.26091491661083	SPARC;FAM114A1;HDLBP;THY1;ADAMTS12;THBS2;ADAMTS2;CALD1;ADAMTS1;CTSK;CTHRC1;CAV1;FN1;BGN;LAYN;PCOLCE;DCN;COL1A1;GREM1;MFAP4;COL3A1;MYO1B;COL1A2;PSG5;COL5A2;CALU;PMP22;COL8A1;COL6A3
FOXC2 human tf ARCHS4 coexpression	29/299	8.78684314940377E-20	2.1996397350674105E-17	0	0	11.583384489461837	508.26091491661083	SPARC;FAM114A1;HDLBP;ADAMTS12;THBS2;PRSS23;ADAMTS2;CALD1;ADAMTS1;TIMP3;CTHRC1;POSTN;MCAM;CAV1;FN1;BGN;PCOLCE;DKK3;COL1A1;GREM1;COL1A2;COL4A2;COL4A1;COL5A2;CALU;COL8A1;COL6A3;CDH13;VIM
PRRX2 human tf ARCHS4 coexpression	27/299	1.1167057234990217E-17	2.0966149958694133E-15	0	0	10.58715043394407	413.2542092563728	SPARC;FAM114A1;HDLBP;THY1;THBS2;ADAMTS2;CALD1;ADAMTS1;CTSK;CTHRC1;CAV1;FN1;BGN;LAYN;PCOLCE;DKK1;DCN;DKK3;COL1A1;GREM1;MFAP4;COL1A2;PSG5;COL5A2;CALU;COL8A1;COL6A3
GLIS1 human tf ARCHS4 coexpression	27/299	1.1167057234990217E-17	2.0966149958694133E-15	0	0	10.58715043394407	413.2542092563728	SPARC;FAM114A1;HDLBP;THY1;ADAMTS12;THBS2;ADAMTS2;CALD1;ADAMTS1;CTHRC1;CAV1;FN1;BGN;LAYN;PCOLCE;DKK3;COL1A1;ACTA2;GREM1;MFAP4;COL1A2;COL4A2;COL5A2;CALU;COL8A1;COL6A3;VIM
TBX5 human tf ARCHS4 coexpression	26/299	1.1770684334707985E-16	1.3599667592870302E-14	0	0	10.101966873706004	370.523320293955	SPARC;FAM114A1;THBS2;ADAMTS2;LBH;CALD1;ADAMTS1;CTSK;CTHRC1;CAV1;FN1;LAYN;PCOLCE;DCN;DKK3;COL1A1;GREM1;MFAP4;COL3A1;COL1A2;PSG5;TNNT2;COL5A2;CALU;PMP22;COL6A3
NFATC4 human tf ARCHS4 coexpression	26/299	1.1770684334707985E-16	1.3599667592870302E-14	0	0	10.101966873706004	370.523320293955	SPARC;HDLBP;PRELP;THY1;THBS2;ADAMTS2;CALD1;ADAMTS1;CTSK;FN1;BGN;LAYN;PCOLCE;DCN;DKK3;COL1A1;GREM1;MFAP4;COL3A1;COL1A2;PSG5;COL4A2;COL5A2;CALU;COL6A3;VIM
TBX18 human tf ARCHS4 coexpression	26/299	1.1770684334707985E-16	1.3599667592870302E-14	0	0	10.101966873706004	370.523320293955	SPARC;HDLBP;ADAMTS12;THBS2;ADAMTS2;CALD1;ADAMTS1;CTSK;MCAM;CAV1;FN1;BGN;LAYN;PCOLCE;DCN;COL1A1;TJP1;GREM1;MFAP4;COL3A1;COL1A2;COL4A2;COL4A1;COL5A2;CALU;COL6A3
OSR1 human tf ARCHS4 coexpression	26/299	1.1770684334707985E-16	1.3599667592870302E-14	0	0	10.101966873706004	370.523320293955	FAM114A1;HDLBP;DPT;PRELP;THY1;THBS2;PRSS23;ADAMTS2;ADAMTS1;CTSK;CTHRC1;CAV1;FN1;BGN;LAYN;PCOLCE;DCN;DKK3;COL1A1;GREM1;MFAP4;COL3A1;COL1A2;COL5A2;COL6A3;VIM
BNC2 human tf ARCHS4 coexpression	26/299	1.1770684334707985E-16	1.3599667592870302E-14	0	0	10.101966873706004	370.523320293955	SPARC;FAM114A1;ADAMTS12;THBS2;ADAMTS2;CALD1;ADAMTS1;CTSK;SEC31A;CTHRC1;POSTN;CAV1;FN1;BGN;PCOLCE;DCN;COL1A1;TJP1;ACTA2;COL3A1;COL1A2;COL5A2;CALU;COL8A1;COL6A3;CDH13
FOXF1 human tf ARCHS4 coexpression	25/299	1.1843273559433222E-15	1.2706140633049072E-13	0	0	9.625172617873348	330.813346413433	FAM114A1;HDLBP;ADAMTS12;ADAMTS2;LBH;OLFML3;ADAMTS1;STOM;CTHRC1;F2R;FN1;LAYN;PCOLCE;DCN;DKK3;COL1A1;GREM1;MFAP4;COL3A1;COL1A2;COL4A2;COL5A2;CALU;COL6A3;ITM2A
