Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Phagosome	8/154	6.199176907483799E-5	0.016964785602120152	0	0	6.49612147219013	62.93773094947795	TFRC;CTSL;ITGB2;CYBB;CYBA;CD14;TCIRG1;HLA-E
Antigen processing and presentation	6/81	7.523186519787207E-5	0.016964785602120152	0	0	9.405238095238095	89.30213074517394	CD74;CTSL;NFYC;PSMB8;CTSB;HLA-E
Toll-like receptor endosomal trafficking and processing	3/12	1.3439886765103428E-4	0.020204629770205488	0	0	38.629629629629626	344.37150344432087	CTSL;TLR8;CTSB
HIF-1 transcriptional activity in hypoxia	5/66	2.7383759939664514E-4	0.028471662587634092	0	0	9.586283829663401	78.63604976327306	TFRC;ITGB2;HMOX1;PLIN2;FOS
Other semaphorin interactions	3/16	3.3345190810495697E-4	0.028471662587634092	0	0	26.738191632928476	214.06628057391768	TYROBP;SEMA6D;PLXNA4
Leptin influence on immune response	6/110	4.0351007976365563E-4	0.028471662587634092	0	0	6.772664835164835	52.93046904802201	FCER1G;TFRC;ALOX5AP;TLR8;FOS;CCL18
Immune system	20/998	4.4191050579476415E-4	0.028471662587634092	0	0	2.5028550181924416	19.333061241494164	C1QB;CD74;CD180;ITGB2;CYBB;CYBA;FOS;LILRB4;PSMB8;HLA-E;CDC20;HCK;TYROBP;CTSL;TLR8;KIF20A;CD14;HCST;CTSB;C1QC
Polo-like kinase 1 (PLK1) pathway	4/46	6.791345744833977E-4	0.038286211636501546	0	0	11.083473389355742	80.85051640756247	CDC20;CCNB1;KIF20A;SPC24
Phosphorylation of Emi1	2/6	0.0011032128248573171	0.055283220445627786	0	0	57.622093023255815	392.3792908030873	CDC20;CCNB1
Interaction between L1-type proteins and ankyrins	3/26	0.001452359827158784	0.06550142820486116	0	0	15.105263157894736	98.70633268474978	SPTBN4;SCN8A;SPTB
Oxidative stress	3/27	0.0016235228439762676	0.06656443660302697	0	0	14.475146198830409	92.9761351232885	HMOX1;CYBA;FOS
Cross-presentation of particulate exogenous antigens (phagosomes)	2/8	0.002035862143008843	0.07501003295896551	0	0	38.41085271317829	238.02575074713616	CYBB;CYBA
Chagas disease	5/104	0.002162151726089915	0.07501003295896551	0	0	5.8953439722670495	36.17767074449079	C1QB;CCL3L1;CCL3;FOS;C1QC
Adaptive immune system	13/606	0.0025402328988022556	0.08154069607634737	0	0	2.6188451185151824	15.648907721702685	CD74;ITGB2;CYBB;CYBA;LILRB4;PSMB8;HLA-E;CDC20;TYROBP;CTSL;KIF20A;HCST;CTSB
Toll receptor cascades	6/159	0.0027119965435592253	0.08154069607634737	0	0	4.592203548085901	27.140245265662752	CTSL;CD180;TLR8;CD14;FOS;CTSB
Immunoregulatory interactions between a lymphoid and a non-lymphoid cell	5/119	0.0038698291219030536	0.09860815168233317	0	0	5.115747949756047	28.41565182449312	TYROBP;ITGB2;HCST;LILRB4;HLA-E
Interleukin-1 regulation of extracellular matrix	5/120	0.004010223128778453	0.09860815168233317	0	0	5.071005917159764	27.98641713301147	ALDH3A2;CCL8;MMP1;CHI3L1;FOS
Latent infection of Homo sapiens with Mycobacterium tuberculosis	3/37	0.004046992304102722	0.09860815168233317	0	0	10.212590299277606	56.26913920585438	CYBB;CYBA;TCIRG1
Lysosome	5/121	0.004154223685065034	0.09860815168233317	0	0	5.027035298918588	27.566400102604423	CTSL;ACP5;TCIRG1;LIPA;CTSB
