Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Respiratory electron transport, ATP biosynthesis by chemiosmotic coupling, and heat production by uncoupling proteins	14/81	1.97450118278786E-13	1.1333636789202315E-10	0	0	20.29439011837365	593.6776877890054	COX8A;NDUFA13;NDUFB8;NDUFB7;NDUFA11;NDUFB2;NDUFA1;SDHC;UQCR11;ETFB;NDUFS8;UQCRQ;NDUFS5;UQCRC1
Oxidative phosphorylation	16/136	1.7559820630298695E-12	5.039668520895726E-10	0	0	13.043449419568823	353.05999543835554	COX8A;ATP6V0B;NDUFB8;NDUFB7;NDUFA11;NDUFA4L2;NDUFB2;NDUFA1;SDHC;COX7A2;UQCR11;NDUFS8;UQCRQ;NDUFS5;UQCRC1;ATP6V1F
Alzheimer's disease	17/169	4.566492758325979E-12	8.737222810930374E-10	0	0	10.977861842105263	286.6569545192347	COX8A;PSENEN;NDUFB8;NDUFB7;NDUFA4L2;NDUFB2;NDUFA1;SDHC;COX7A2;UQCR11;HSD17B10;NDUFS8;UQCRQ;NDUFS5;UQCRC1;CALM2;GAPDH
Tricarboxylic acid (TCA) cycle and respiratory electron transport	14/117	3.534481382892338E-11	5.071980784450505E-9	0	0	13.177100770003348	317.1183867757065	COX8A;NDUFA13;NDUFB8;NDUFB7;NDUFA11;NDUFB2;NDUFA1;SDHC;UQCR11;ETFB;NDUFS8;UQCRQ;NDUFS5;UQCRC1
Huntington's disease	16/184	1.792823568128791E-10	2.0581614562118518E-8	0	0	9.294006159677801	208.57663588797135	COX8A;NDUFB8;GPX1;NDUFB7;NDUFA4L2;NDUFB2;NDUFA1;SDHC;COX7A2;UQCR11;NDUFS8;UQCRQ;NDUFS5;UQCRC1;POLR2H;TGM2
Metabolism	47/1615	3.2798098653136374E-10	3.137684771150047E-8	0	0	3.211678421368547	70.13684365728943	DTYMK;NDUFA13;NDUFB8;AHCY;NNMT;ACSS2;NDUFB7;NDUFA11;GSTP1;NDUFA4L2;NDUFB2;UQCR11;ENO1;ETFB;AAAS;HSD17B10;ALDH3B1;PMVK;POLD2;PGK1;POLR2H;ATP6V1F;COX8A;ACOT8;ATP6V0B;HSP90AA1;TPI1;GPX1;GSS;DCXR;AKR1A1;NDUFA1;G0S2;SDHC;CYP4F11;NME1;POLE4;NDUFS8;PKM;UQCRQ;NDUFS5;HMBS;UQCRC1;GAPDH;FBP1;ITPA;GALK1
Electron transport chain	12/105	1.5792414357519987E-9	1.294977977316639E-7	0	0	12.3933910306845	251.1684434984354	COX8A;NDUFB8;NDUFS8;NDUFB7;UQCRQ;NDUFS5;UQCRC1;NDUFB2;NDUFA1;SDHC;COX7A2;UQCR11
Parkinson's disease	13/131	1.8973629746431703E-9	1.3613579343064747E-7	0	0	10.620014955134597	213.2796450801139	COX8A;NDUFB8;NDUFB7;NDUFA4L2;NDUFB2;NDUFA1;SDHC;COX7A2;UQCR11;NDUFS8;UQCRQ;NDUFS5;UQCRC1
Glycolysis and gluconeogenesis	9/75	1.192219781653977E-7	7.603712829659809E-6	0	0	12.926354895104895	206.0755525549689	TPI1;PKM;ACSS2;ALDH3B1;AKR1A1;PGK1;ENO1;FBP1;GAPDH
Oncostatin M	16/311	3.133673966603893E-7	1.7987288568306344E-5	0	0	5.258588413862889	78.7520392408097	CXCL8;CCL20;AKR1C1;KRT8;KRT7;PTGS2;CCL7;SAA1;PGK1;LCN2;ITGAV;TIMP1;PI3;ITGB6;S100A9;TGM2
