Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
FLI1 ENCODE	22/650	2.532658434267385E-6	2.4820052655820374E-4	0	0	3.441205291523763	44.34420086281621	SRGN;DTYMK;NDUFA13;SDHC;RPSA;COX7A2;EMP3;AAAS;PTRHD1;NME1;POLE4;PRDX5;EXOSC4;NDUFS8;DPH3;TMEM126A;TMEM208;LAMTOR1;HIF1AN;POLR2H;AURKAIP1;ITPA
MYC ENCODE	34/1515	4.078483460953982E-5	0.0011597544426837903	0	0	2.2959970187032095	23.206101633167478	DTYMK;NDUFA11;TIMM13;NDUFB2;ENO1;DNPH1;PSMB10;TUBA1B;MUC1;PRDX4;PSMB3;POLD2;RPS2;POLR2H;MPDU1;RPS5;MRPL27;AKR1A1;RPSA;MIF;MRPL24;NME1;POLE4;SNX17;SCD;HMBS;BHLHE40;CKS2;TAGLN2;NAA38;RPL29;CALM2;ATF4;CD320
GABPA ENCODE	42/2082	5.523524985352899E-5	0.0011597544426837903	0	0	2.0874117647058825	20.464795454675123	NDUFA13;NDUFB7;PSMD14;TIMM13;UQCR11;COX7A2;RPL8;AAAS;MRPL54;NUBP2;STX10;PRDX5;EXOSC4;PSMB3;DPH3;PGK1;TMEM208;POLL;ROMO1;HIF1AN;POLR2H;PSENEN;COX8A;FIS1;ACOT8;RPS5;MRPL27;MRPL28;SDHC;RPSA;MRPL24;NME1;TUFM;NIF3L1;EIF6;UQCRQ;AURKAIP1;RPL29;VPS25;ITPA;COPE;ATF4
FOSL2 ENCODE	10/196	5.81013845038865E-5	0.0011597544426837903	0	0	5.089865461534465	49.64309202257136	KRT19;PSMD14;TMEM205;UBC;KRT8;TAGLN2;ENO1;EMP3;MISP;NME1
ZMIZ1 ENCODE	24/914	5.917114503488726E-5	0.0011597544426837903	0	0	2.63976247307446	25.698289748803393	ACOT8;NDUFA13;HSP90AA1;TPI1;GSTP1;NDUFA4L2;UQCR11;SRPK1;MYL6;PRDX5;LGALS1;PRDX4;PKM;SLC25A39;UBC;TMEM126A;TAGLN2;SH3BGRL3;ROMO1;RPS2;LAMTOR4;VPS25;CALM2;ATF4
ATF2 ENCODE	52/2852	8.951200543307758E-5	0.0014620294220736004	0	0	1.9115064935064936	17.817415436848826	NDUFA13;NDUFA11;MRPS12;ENO1;SLC7A11;RPL8;TUBA1B;TUBA1A;PSENEN;COX8A;ATP6V0B;RPS5;RPSA;YWHAZ;NME1;TUFM;MYL6;NIF3L1;RAB34;NDUFS5;TMEM126A;CKS2;TAGLN2;NAA38;AURKAIP1;RPL29;VPS25;GAPDH;ATF4;NDUFB7;MTFP1;TIMM13;COX7A2;AAAS;MRPL54;PSMB10;PRDX5;MUC1;PSMB3;ORMDL2;UBC;PMVK;TMEM208;RPS2;TSPAN1;MRPL24;PTRHD1;SNX17;UQCRQ;CALM2;COPE;CD320
NFYA ENCODE	43/2250	1.5227842888064283E-4	0.002076780434329982	0	0	1.9680535808217323	17.298797254120355	ISCA2;DTYMK;ACSS2;NDUFA11;MRPS12;ENO1;ETFB;HMGB1;HSD17B10;NUBP2;PRDX5;LGALS1;PSMB3;ORMDL2;TMEM205;DPH3;POLD2;PGK1;RPS2;COX8A;ACOT8;SIVA1;SSR4;RPS5;DCXR;MRPL28;RPSA;ERAL1;DUSP23;NDUFS8;PKM;SCD;RAB34;HMBS;TMEM126A;CKS2;PSME2;RNF181;TMEM9;LAMTOR4;CALM2;COPE;ATF4
MYC CHEA	17/573	1.8159360322597925E-4	0.002076780434329982	0	0	2.9393794964028777	25.319048735584598	COX8A;HSP90AA1;TUBB;RPS5;RPSA;MIF;RPL8;AAAS;YWHAZ;NUBP2;NME1;PKM;SLC25A39;RAB34;RPS2;RPL29;ATP6V1F
KLF4 CHEA	24/987	1.9072473376499836E-4	0.002076780434329982	0	0	2.430229367423692	20.814135288413468	ACOT8;PPP1R14B;GPX1;ANXA2;TUBB;RPS5;RPSA;ENO1;MIF;RPL8;YWHAZ;TXNDC17;PYCARD;TUBA1B;TMEM125;PKM;SLC25A39;PMVK;TSPO;TAGLN2;RPS2;GAPDH;ATF4;CRB3
CREB1 ENCODE	41/2238	5.364446495994455E-4	0.005257157566074566	0	0	1.8646966938387057	14.042186411904467	DTYMK;MTFP1;MRPS12;TIMM13;NDUFB2;HMGB1;RPL8;MRPL54;NUBP2;PSMB6;EXOSC4;PSMB5;TMEM205;DPH3;UBC;PMVK;POLD2;TMEM208;RPS2;RABAC1;PSENEN;COX8A;ATP6V0B;SIVA1;SSR4;RPS5;SDHC;RPSA;HPS6;TUFM;MYL6;NIF3L1;UQCRQ;RAB34;NDUFS5;HMBS;TMEM126A;CKS2;AURKAIP1;CALM2;COPE
