Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
REST ENCODE	13/383	3.2119788532860456E-5	0.00298714	0	0	4.245895585	43.92819814	DPP10;PTPRT;PCSK2;TPH2;TFRC;DDX25;NRXN1;SLC35F4;CADPS;SYT14;UNC80;GRIN3A;SNTG1
FOXM1 ENCODE	Apr-95	0.009538193	0.2956839816420045	0	0	5.102779573367808	23.7404331	CDC20;CCNB1;PTTG1;KIF20A
REST CHEA	23/1280	7.475780567090371E-4	0.03476238	0	0	2.2501119558288156	16.19781756	DPP10;PTPRT;PCSK2;SPTBN4;TPH2;SEMA6D;ABCB4;NRXN1;CADPS;GPATCH1;SYT14;GCC1;ST18;ABCC12;HLA-E;OLFM1;SNTG1;ST8SIA5;CYC1;N4BP3;TRPM3;PLXNA4;GARNL3
MYOD1 ENCODE	4/166	0.057261938512634274	0.9999684479790428	0	0	2.856063907044299	8.168683004	RYR1;SLC37A2;CCDC141;ASF1B
VDR CHEA	Feb-76	0.1416992079266903	0.9999684479790428	0	0	3.103708359522313	6.064797354	SLC37A2;CLMN
SMAD4 CHEA	8/584	0.13794321799478254	0.9999684479790428	0	0	1.6106091030789826	3.190476739	PTPRT;PCSK2;CUBN;SEMA6D;CADPS;CHI3L1;TP63;PLXNA4
SPI1 CHEA	13/1056	0.13137043923342856	0.9999684479790428	0	0	1.4541128969825456	2.951462628	ITGB2;TCIRG1;FOS;CORO1B;PSMB8;DOK3;TYROBP;DDIT3;ALOX5AP;CD14;HCST;ZNF235;FERMT3
GATA1 CHEA	10/807	0.16652595123085093	0.9999684479790428	0	0	1.4558404994338525	2.609745675	RYR1;SPI1;TFRC;MYO3B;CD180;FOS;LIPA;SPTB;PLXNA4;CTSB
IRF8 CHEA	2/121	0.2837497716485653	0.9999684479790428	0	0	1.925640023451241	2.425656555	CD74;PSMB8
TCF7L2 ENCODE	7/583	0.24574323664476444	0.9999684479790428	0	0	1.400844145043247	1.966039989	NDC1;DDIT3;NFYC;SRD5A3;ATG2A;MAGED2;SPC24
KLF4 CHEA	11/987	0.24149740897906477	0.9999684479790428	0	0	1.3033666901337624	1.851949214	HCK;CSTB;RASSF1;NFYC;SRD5A3;APOC1;ATG2A;ACP5;THUMPD1;TRIM27;FOS
EGR1 CHEA	4/315	0.29412183261748975	0.9999684479790428	0	0	1.4764516739171554	1.806824273	CSTB;IGDCC4;ABCC12;SPC24
NELFE ENCODE	3/234	0.3330928399611408	0.9999684479790428	0	0	1.4881901724006987	1.636018098	TFRC;DDIT3;FOS
NFE2L2 CHEA	11/1022	0.277132086	0.9999684479790428	0	0	1.2559089281704927	1.611658998	CSTB;CCL8;SEMA6D;NRXN1;ITGB2;ALOX5AP;HMOX1;CSMD3;ZBTB8B;LILRB4;CTSB
SUZ12 CHEA	17/1684	0.2964489070169809	0.9999684479790428	0	0	1.1795207837413408	1.434156197	DPP10;PTPRT;GALNT14;SEMA6D;ABCB4;GABRA4;CADPS;SLC1A6;CLDN5;GRM7;SNTG1;ADAMTS18;ST8SIA5;CD14;PROM1;PLXNA4;CORIN
RAD21 ENCODE	13/1265	0.30772794022286964	0.9999684479790428	0	0	1.197894549	1.41176568	TPH2;ABCA3;SRD5A3;SPTB;PCP4;NUDT8;KIF20A;CD14;TNFAIP8L2;CSMD3;CORIN;ASF1B;C1QC
SMC3 ENCODE	12/1181	0.33179733414938417	0.9999684479790428	0	0	1.1822070145423438	1.304247351	TPH2;PCP4;NUDT8;ABCA3;SRD5A3;CYC1;TNFAIP8L2;CSMD3;CORIN;ASF1B;FERMT3;C1QC
RFX5 ENCODE	6/559	0.3595839749025969	0.9999684479790428	0	0	1.2447042107982433	1.273092853	CD74;CCNB1;APOC1;PSMB8;HLA-E;ASF1B
NFIC ENCODE	3/279	0.4386585150777662	0.9999684479790428	0	0	1.2426900584795322	1.024018908	ABCA3;FOS;FERMT3
STAT3 CHEA	2/177	0.4569999829380617	0.9999684479790428	0	0	1.3057142857142856	1.0224682	SCN8A;FOS
E2F4 ENCODE	7/710	0.42270209117797464	0.9999684479790428	0	0	1.1402032350661409	0.981814895	CDC20;RPUSD1;CENPM;KIF20A;TK1;SPC24;ASF1B
STAT3 ENCODE	7/725	0.44404908871721654	0.9999684479790428	0	0	1.115507147265358	0.905591194	ALDH3A2;ZNF484;KIF20A;FOS;MMACHC;PSMB8;HLA-E
E2F1 CHEA	8/859	0.47324574931306346	0.9999684479790428	0	0	1.0745685444480626	0.803928217	ALDH3A2;COMMD9;SCN8A;CENPM;GCC1;TRIM27;TK1;SPC24
FOSL2 ENCODE	2/196	0.5103896613612217	0.9999684479790428	0	0	1.1766962359146487	0.791423299	DDIT3;MYH16
SPI1 ENCODE	14/1540	0.4725021489460583	0.9999684479790428	0	0	1.0493119266055047	0.786682776	NDC1;CD52;ZNF484;NFYC;TCIRG1;PSMB8;DOK3;TYROBP;ALOX5AP;CD14;HCST;ZNF235;FERMT3;CTSB
AR CHEA	10/1095	0.4838080523467536	0.9999684479790428	0	0	1.053220186579746	0.76470846	PCSK2;MYO3B;SEMA6D;ADAMTS18;CD180;NEB;SYT14;KIF20A;C12ORF42;TP63
CTCF ENCODE	16/1790	0.49333290306463595	0.9999684479790428	0	0	1.0304682259928932	0.72809904	TPH2;ABCA3;SRD5A3;THUMPD1;SPTB;PCP4;NUDT8;SCN8A;CYC1;TK1;TNFAIP8L2;CSMD3;CORIN;ASF1B;FERMT3;C1QC
USF2 ENCODE	8/965	0.6061121433657538	0.9999684479790428	0	0	0.9502083569387267	0.475760065	ALDH3A2;CSTB;COMMD9;DDIT3;VPS11;HMOX1;PLIN2;CTSB
RELA ENCODE	4/484	0.6103007061878686	0.9999684479790428	0	0	0.9483333333333334	0.468290302	CD74;ITGB2;CCL3;PSMB8
ZKSCAN1 ENCODE	1/120	0.6506605520190463	0.9999684479790428	0	0	0.9572545781318308	0.411396618	TNFAIP8L2
POU5F1 CHEA	2/261	0.6655827038427018	0.9999684479790428	0	0	0.8784681691658436	0.357617694	HCK;SPC24
IRF1 ENCODE	2/263	0.6696694586085339	0.9999684479790428	0	0	0.8716475095785441	0.349505403	DNAJA1;PSMB8
ZC3H11A ENCODE	1/129	0.6772399996282537	0.9999684479790428	0	0	0.8895411849710982	0.346680498	HARBI1
EGR1 ENCODE	4/537	0.6906421854002266	0.9999684479790428	0	0	0.851694074	0.315240432	DNAJA1;TFRC;SCN8A;HCST
PPARD CHEA	2/285	0.7120079880284912	0.9999684479790428	0	0	0.8029829895636453	0.272746139	SPTBN4;PLIN2
CEBPB ENCODE	1/144	0.7171441832766279	0.9999684479790428	0	0	0.7956263389789401	0.264528545	DDIT3
RCOR1 ENCODE	5/702	0.7350982442095364	0.9999684479790428	0	0	0.8119752447089386	0.249886293	ABCA3;TCIRG1;FOS;N4BP3;PSMB8
